Series ID,Year,Period,Label,Value
LASBS170000000000003,2017,M02,2017 Feb,5.4
LASBS170000000000003,2017,M03,2017 Mar,5.2
LASBS170000000000003,2017,M04,2017 Apr,5.1
LASBS170000000000003,2017,M05,2017 May,4.9
LASBS170000000000003,2017,M06,2017 Jun,4.9
LASBS170000000000003,2017,M07,2017 Jul,4.8
LASBS170000000000003,2017,M08,2017 Aug,4.8
LASBS170000000000003,2017,M09,2017 Sep,4.8
LASBS170000000000003,2017,M10,2017 Oct,4.7
LASBS170000000000003,2017,M11,2017 Nov,4.7
LASBS170000000000003,2017,M12,2017 Dec,4.6
LASBS170000000000003,2018,M01,2018 Jan,4.5
LASBS170000000000003,2018,M02,2018 Feb,4.6
LASBS170000000000003,2018,M03,2018 Mar,4.6
LASBS170000000000003,2018,M04,2018 Apr,4.7
LASBS170000000000003,2018,M05,2018 May,4.7
LASBS170000000000003,2018,M06,2018 Jun,4.8
LASBS170000000000003,2018,M07,2018 Jul,4.8
LASBS170000000000003,2018,M08,2018 Aug,4.9
LASBS170000000000003,2018,M09,2018 Sep,5.0
LASBS170000000000003,2018,M10,2018 Oct,5.1
LASBS170000000000003,2018,M11,2018 Nov,5.2
LASBS170000000000003,2018,M12,2018 Dec,5.2
LASBS170000000000003,2019,M01,2019 Jan,5.1
LASBS170000000000003,2019,M02,2019 Feb,4.9
LASBS170000000000003,2019,M03,2019 Mar,4.7
LASBS170000000000003,2019,M04,2019 Apr,4.4
LASBS170000000000003,2019,M05,2019 May,4.2
LASBS170000000000003,2019,M06,2019 Jun,4.1
LASBS170000000000003,2019,M07,2019 Jul,4.0
LASBS170000000000003,2019,M08,2019 Aug,4.0
LASBS170000000000003,2019,M09,2019 Sep,4.0
LASBS170000000000003,2019,M10,2019 Oct,4.0
LASBS170000000000003,2019,M11,2019 Nov,3.8
LASBS170000000000003,2019,M12,2019 Dec,3.7
LASBS170000000000003,2020,M01,2020 Jan,3.7
LASBS170000000000003,2020,M02,2020 Feb,3.8
LASBS170000000000003,2020,M03,2020 Mar,4.1
LASBS170000000000003,2020,M04,2020 Apr,16.8
LASBS170000000000003,2020,M05,2020 May,14.0
LASBS170000000000003,2020,M06,2020 Jun,11.8
LASBS170000000000003,2020,M07,2020 Jul,10.5
LASBS170000000000003,2020,M08,2020 Aug,8.7
LASBS170000000000003,2020,M09,2020 Sep,8.0
LASBS170000000000003,2020,M10,2020 Oct,7.0
LASBS170000000000003,2020,M11,2020 Nov,6.8
LASBS170000000000003,2020,M12,2020 Dec,6.7
LASBS170000000000003,2021,M01,2021 Jan,6.4
LASBS170000000000003,2021,M02,2021 Feb,6.3
LASBS170000000000003,2021,M03,2021 Mar,6.2
LASBS170000000000003,2021,M04,2021 Apr,6.0
LASBS170000000000003,2021,M05,2021 May,5.8
LASBS170000000000003,2021,M06,2021 Jun,5.9
LASBS170000000000003,2021,M07,2021 Jul,5.7
LASBS170000000000003,2021,M08,2021 Aug,5.7
LASBS170000000000003,2021,M09,2021 Sep,5.3
LASBS170000000000003,2021,M10,2021 Oct,5.3
LASBS170000000000003,2021,M11,2021 Nov,5.0
LASBS170000000000003,2021,M12,2021 Dec,4.8
LASBS170000000000003,2022,M01,2022 Jan,4.7
LASBS170000000000003,2022,M02,2022 Feb,4.6
LASBS170000000000003,2022,M03,2022 Mar,4.5
LASBS170000000000003,2022,M04,2022 Apr,4.4
LASBS170000000000003,2022,M05,2022 May,4.4
LASBS170000000000003,2022,M06,2022 Jun,4.3
LASBS170000000000003,2022,M07,2022 Jul,4.3
LASBS170000000000003,2022,M08,2022 Aug,4.3
LASBS170000000000003,2022,M09,2022 Sep,4.5
LASBS170000000000003,2022,M10,2022 Oct,4.6
LASBS170000000000003,2022,M11,2022 Nov,4.7
LASBS170000000000003,2022,M12,2022 Dec,4.7
LASBS170000000000003,2023,M01,2023 Jan,4.6
LASBS170000000000003,2023,M02,2023 Feb,4.5
LASBS170000000000003,2023,M03,2023 Mar,4.5
LASBS170000000000003,2023,M04,2023 Apr,4.6
LASBS170000000000003,2023,M05,2023 May,4.7
LASBS170000000000003,2023,M06,2023 Jun,4.8
LASBS170000000000003,2023,M07,2023 Jul,4.9
LASBS170000000000003,2023,M08,2023 Aug,5.0
LASBS170000000000003,2023,M09,2023 Sep,5.1
LASBS170000000000003,2023,M10,2023 Oct,5.1
LASBS170000000000003,2023,M11,2023 Nov,5.1
LASBS170000000000003,2023,M12,2023 Dec,5.1
LASBS170000000000003,2024,M01,2024 Jan,5.1
